Transaction_Type,Age,Income,Transaction_Amount,Transactions_24h,Account_Age_Years,Distance_From_Home_Km,Device_Risk_Score,International_Transaction,Is_Fraud
POS,31.0,35025.64,1497.71,6.0,9.8,53.36,0.074,No,0
ATM,43.0,32287.69,8015.52,1.0,2.23,14.93,0.27,No,0
ATM,49.0,42496.23,4678.46,4.0,5.96,45.67,0.207,Yes,0
Transfer,37.0,36173.53,3745.67,9.0,9.1,21.93,0.608,No,0
Online,56.0,19514.38,3143.38,4.0,7.0,46.17,0.138,No,0
POS,45.0,79765.66,1283.1,3.0,2.71,2.76,0.117,No,0
Online,38.0,40314.11,188.29,4.0,2.55,9.46,0.176,No,0
Transfer,39.0,32371.93,7320.53,3.0,0.77,43.91,0.313,No,0
POS,38.0,27082.07,1533.34,9.0,9.45,60.73,0.358,No,0
POS,22.0,63655.89,8051.76,1.0,1.6,16.62,0.251,No,0
Online,35.0,25087.46,3553.7,3.0,7.14,12.34,0.522,No,0
Online,38.0,47796.71,8302.42,4.0,0.72,5.58,0.39,No,0
ATM,31.0,34605.77,5574.39,3.0,12.67,3.6,0.109,No,0
Online,40.0,35524.54,212.59,5.0,0.94,3.26,0.239,No,0
,36.0,27386.79,4623.66,4.0,5.13,19.79,0.152,No,0
Transfer,45.0,34039.4,1772.9,4.0,8.64,18.86,0.296,No,0
ATM,43.0,45178.81,8014.9,4.0,2.89,6.84,0.582,No,0
Online,38.0,50026.51,4515.42,2.0,6.69,10.84,0.082,No,0
Online,21.0,31599.64,4568.84,1.0,4.15,15.19,0.148,Yes,0
Transfer,56.0,43195.75,1904.17,,6.16,2.57,0.378,No,1
ATM,34.0,67118.99,1003.69,2.0,8.24,22.77,0.268,Yes,0
POS,35.0,21295.16,1621.58,5.0,3.71,24.95,0.367,No,0
Online,32.0,44873.23,413.29,2.0,9.49,29.6,0.301,,0
Online,31.0,29335.83,1385.34,5.0,6.06,27.68,0.146,No,0
Online,53.0,28021.01,578.18,6.0,10.85,17.51,0.057,No,0
ATM,51.0,50608.41,593.66,6.0,2.5,52.97,0.214,No,0
Online,41.0,35208.92,2808.83,1.0,3.07,12.81,0.218,No,0
Online,35.0,26026.13,4264.56,5.0,4.3,27.28,0.371,No,0
,43.0,81662.09,2421.77,4.0,1.36,6.46,0.194,Yes,0
Transfer,37.0,,1518.16,3.0,7.78,6.61,0.151,No,0
ATM,34.0,18861.54,969.36,7.0,4.77,25.78,0.292,No,0
POS,40.0,23177.22,,6.0,1.56,8.39,0.226,No,0
POS,31.0,58775.09,1098.63,4.0,2.53,25.56,0.349,Yes,0
POS,39.0,39585.75,2347.76,1.0,2.39,26.6,0.075,No,0
Online,38.0,88404.34,545.94,9.0,7.77,56.72,0.067,No,0
POS,43.0,,5041.02,3.0,6.37,6.04,0.24,No,0
POS,29.0,51491.77,1418.02,4.0,4.6,5.11,0.058,No,1
POS,,28412.36,3642.05,1.0,3.9,20.59,0.494,No,0
Transfer,26.0,56137.87,6070.94,2.0,4.28,43.02,0.222,No,0
Transfer,30.0,25344.68,3470.02,6.0,10.34,19.83,0.344,No,0
Online,,80965.45,5559.0,5.0,4.3,99.11,0.181,Yes,0
POS,24.0,54414.18,316.53,4.0,7.57,25.16,0.277,No,0
Online,47.0,31046.58,1527.2,7.0,4.01,23.83,0.119,No,0
POS,25.0,64635.73,7533.56,3.0,10.05,15.09,0.06,No,0
Online,28.0,123389.83,4160.02,4.0,1.34,28.09,0.175,No,0
Online,50.0,40802.15,15875.13,6.0,7.42,42.06,0.183,,0
ATM,30.0,57647.59,,3.0,2.72,22.0,0.195,Yes,1
POS,,37052.63,3373.27,5.0,11.64,39.27,0.116,No,0
Transfer,25.0,46762.0,1943.15,,7.09,21.81,0.125,No,0
Online,45.0,22837.57,958.73,3.0,0.1,5.59,0.294,Yes,1
Online,45.0,44989.28,1553.46,7.0,2.21,4.45,0.199,No,0
POS,44.0,45891.15,1662.04,3.0,7.06,32.22,0.097,No,0
,42.0,101110.25,1381.32,2.0,6.97,22.46,0.083,No,1
Online,37.0,20063.68,997.96,4.0,6.75,41.05,0.187,Yes,0
Transfer,30.0,39656.9,3735.45,7.0,5.47,33.06,0.668,No,1
Online,,80343.82,13638.96,1.0,4.04,4.42,0.155,No,0
Online,50.0,40361.05,6356.94,3.0,8.26,13.23,0.431,No,0
POS,44.0,41660.72,1810.98,2.0,2.41,8.66,0.17,No,0
,28.0,30929.05,6891.71,1.0,5.16,19.18,0.331,No,0
POS,36.0,29576.79,3535.81,4.0,3.14,17.82,0.333,No,0
POS,33.0,19787.06,2400.28,3.0,2.9,3.95,0.122,No,0
ATM,24.0,33903.41,2255.04,7.0,3.62,12.17,0.09,No,0
Online,38.0,28831.04,2046.95,3.0,2.79,12.21,0.149,No,0
POS,31.0,47454.91,4793.96,6.0,6.65,26.73,0.096,No,0
POS,26.0,31570.14,2874.74,3.0,0.57,18.48,0.336,Yes,0
Transfer,20.0,36264.76,1206.67,5.0,6.29,10.7,0.248,Yes,0
POS,19.0,36714.44,1149.63,2.0,3.1,9.26,0.038,Yes,0
POS,32.0,44035.15,3394.63,2.0,5.09,3.85,0.507,No,0
Online,35.0,35474.97,3837.96,,4.5,32.14,0.417,No,1
Online,26.0,27906.48,1827.88,3.0,3.5,32.76,0.273,No,0
Online,43.0,46770.72,805.97,3.0,8.64,43.72,0.639,No,0
ATM,35.0,72750.08,8734.28,6.0,3.89,11.59,0.253,Yes,0
Online,42.0,,7063.18,8.0,7.11,52.91,0.151,No,0
ATM,34.0,34200.6,342.64,2.0,7.15,32.53,0.31,,0
Online,27.0,42574.12,9543.63,6.0,4.18,35.51,0.267,No,0
Transfer,37.0,17883.49,2028.54,3.0,1.23,14.31,0.192,No,0
ATM,22.0,42263.81,3023.08,6.0,2.35,13.52,0.206,Yes,0
Online,42.0,37581.17,7803.04,4.0,8.84,29.72,0.339,Yes,0
Online,26.0,29565.42,13050.54,4.0,6.48,44.78,0.125,No,0
Online,46.0,32079.53,6815.2,5.0,5.42,53.05,0.244,Yes,0
Transfer,32.0,37414.45,3181.4,5.0,3.3,48.1,0.233,No,0
Online,48.0,70334.94,631.69,3.0,10.2,26.29,0.449,No,0
POS,24.0,73559.14,329.58,4.0,2.4,6.46,0.225,No,0
POS,29.0,29636.48,6016.16,5.0,5.42,34.38,0.148,No,0
ATM,40.0,35642.11,9567.01,5.0,6.51,9.21,0.222,No,0
POS,49.0,36053.25,1106.99,1.0,1.08,65.36,0.344,No,1
POS,54.0,64777.48,1908.87,5.0,2.72,46.93,0.164,No,0
Transfer,36.0,48045.11,1431.93,3.0,3.63,19.75,0.312,Yes,0
Online,56.0,46918.78,,4.0,7.59,21.41,0.388,No,0
ATM,33.0,57281.67,7324.7,3.0,3.69,30.15,0.316,No,0
Online,48.0,34407.57,3110.13,6.0,0.69,20.89,0.557,No,0
POS,26.0,83130.48,1987.97,2.0,0.4,31.57,0.256,No,0
Transfer,41.0,44964.68,35652.2,3.0,2.7,19.45,0.15,Yes,0
POS,18.0,30615.36,595.63,2.0,0.53,13.42,0.182,No,0
POS,24.0,40581.99,4324.09,2.0,7.31,9.26,0.209,Yes,0
Online,41.0,78337.8,,3.0,7.42,14.06,0.08,No,1
POS,22.0,37164.3,2135.83,3.0,5.02,22.88,0.133,No,0
POS,41.0,68990.13,2900.63,3.0,4.21,8.57,0.533,No,0
POS,46.0,33962.5,5817.59,3.0,7.22,37.84,0.131,No,0
POS,30.0,31884.3,1925.35,4.0,7.1,23.01,0.232,No,0
Online,25.0,60550.72,1732.11,7.0,2.04,16.31,0.157,No,0
Online,31.0,30367.56,1891.19,2.0,2.45,8.22,0.319,No,0
Online,25.0,,849.03,1.0,7.12,40.37,0.182,No,0
POS,35.0,52714.69,4704.88,11.0,5.81,51.41,0.487,No,0
Online,37.0,30372.73,3312.24,3.0,6.82,1.5,0.172,No,0
Transfer,,43576.29,3863.06,4.0,2.32,21.66,0.191,No,0
POS,54.0,35153.14,2332.05,2.0,2.75,45.43,0.158,No,0
Online,28.0,52651.88,2061.46,1.0,6.39,30.39,0.027,No,0
POS,51.0,105232.45,8100.22,3.0,2.95,4.49,0.043,No,0
ATM,25.0,38085.95,6945.38,1.0,0.44,15.52,0.198,No,0
Online,37.0,57217.62,10289.16,5.0,3.0,7.36,0.2,No,0
Online,49.0,45497.65,3628.74,6.0,4.38,8.46,0.203,No,0
Online,48.0,45489.82,9669.29,4.0,10.1,20.18,0.435,No,0
Online,31.0,41775.92,1649.06,2.0,2.48,27.83,0.087,No,0
ATM,42.0,30594.63,2045.08,3.0,4.81,12.04,0.162,Yes,0
Transfer,41.0,52325.06,8259.73,3.0,11.13,18.73,0.242,No,0
Online,30.0,39516.91,5810.77,8.0,1.72,27.79,0.053,No,0
ATM,43.0,29949.2,1869.82,2.0,6.98,4.64,0.475,No,0
Online,56.0,71025.61,878.12,1.0,2.87,8.37,0.18,No,0
POS,41.0,47050.28,2038.73,4.0,6.21,9.74,0.132,No,0
ATM,42.0,40610.15,1260.39,6.0,12.0,14.28,0.292,No,0
POS,43.0,82243.8,14024.34,5.0,7.37,15.78,0.26,No,0
Online,20.0,19696.2,5345.91,4.0,5.46,20.58,0.175,Yes,0
POS,41.0,79792.69,1162.26,1.0,2.15,12.08,0.186,No,0
Transfer,25.0,30282.74,879.24,3.0,4.47,29.28,0.316,No,0
Online,30.0,49494.03,1147.95,1.0,3.3,12.96,0.386,No,0
Online,60.0,34537.09,1429.7,3.0,0.65,6.5,0.083,No,0
Online,33.0,29704.9,2116.13,3.0,0.1,10.89,0.659,No,0
POS,28.0,81280.93,7620.46,5.0,2.51,7.33,0.64,No,0
POS,49.0,103747.49,951.01,7.0,4.91,2.04,0.234,No,0
ATM,26.0,40735.95,24675.92,5.0,8.36,60.72,0.121,No,0
ATM,31.0,52332.95,973.35,7.0,2.79,2.01,0.084,Yes,0
Transfer,50.0,46169.0,610.94,8.0,5.57,13.64,0.355,Yes,1
ATM,36.0,98041.47,13525.75,3.0,0.1,18.49,0.578,Yes,0
Online,19.0,17387.38,9370.31,1.0,2.6,17.96,0.238,No,0
POS,42.0,53323.01,2083.28,4.0,0.1,1.73,0.334,No,0
Online,32.0,32442.06,3660.59,4.0,11.7,20.07,0.137,No,0
Online,53.0,15587.65,3754.14,5.0,5.59,40.27,0.425,Yes,1
Transfer,29.0,38260.73,2866.25,1.0,5.5,4.59,0.652,No,0
POS,48.0,103366.86,683.73,1.0,6.61,19.71,0.149,No,0
Transfer,56.0,33496.48,208.95,2.0,12.6,20.06,0.257,No,0
POS,27.0,64232.35,1074.19,2.0,3.69,16.56,0.291,Yes,0
POS,34.0,77174.18,15370.42,8.0,2.06,66.6,0.193,,0
POS,40.0,44743.62,15985.85,5.0,11.0,16.19,0.392,No,0
Online,27.0,47506.55,1924.09,3.0,1.31,11.25,0.159,No,0
Online,39.0,20787.01,959.18,6.0,8.89,3.34,0.25,No,0
POS,34.0,32602.49,3301.62,1.0,4.78,44.45,0.462,No,0
Online,33.0,67681.71,3877.82,,6.3,7.21,0.299,Yes,0
Transfer,37.0,46245.68,4558.58,3.0,0.69,22.11,0.302,No,0
Online,37.0,53088.81,199.74,4.0,12.78,47.9,0.308,No,0
Online,38.0,47778.87,50000.0,11.0,3.85,26.13,0.307,Yes,0
ATM,29.0,120670.57,7758.32,5.0,2.9,4.24,0.148,No,0
Online,30.0,37074.47,2051.2,8.0,6.65,30.41,0.071,Yes,0
Transfer,35.0,92674.84,1218.73,1.0,3.07,10.61,0.203,Yes,1
ATM,36.0,47786.3,6709.98,1.0,6.27,28.68,0.267,No,0
Online,31.0,96452.63,4102.86,3.0,1.22,60.39,0.353,No,0
POS,40.0,25930.56,2741.32,2.0,5.44,26.87,0.172,No,0
POS,18.0,48898.95,3953.6,5.0,3.19,17.64,0.101,No,0
ATM,28.0,37694.09,2233.5,4.0,2.65,9.48,0.279,No,0
ATM,33.0,47914.83,3736.51,5.0,2.18,6.85,0.228,Yes,0
ATM,27.0,78001.79,5168.87,,7.66,26.56,0.18,Yes,0
POS,,53363.49,3524.04,3.0,3.95,45.92,0.423,No,0
Online,36.0,,3344.15,3.0,4.45,24.57,0.069,No,0
POS,38.0,33283.54,10065.87,4.0,6.28,19.82,0.454,,0
Transfer,31.0,31074.48,107698.12,5.0,8.42,19.63,0.062,Yes,1
POS,36.0,45327.31,1125.7,1.0,2.23,17.07,0.19,No,0
POS,23.0,44224.06,2567.29,6.0,5.66,42.39,0.258,No,0
,34.0,41389.44,1204.93,2.0,2.27,31.93,0.061,No,0
ATM,26.0,29232.42,1682.46,,4.37,51.18,0.287,,0
Transfer,33.0,77173.47,9061.48,7.0,8.2,47.76,0.017,No,0
Online,18.0,38221.02,2153.99,6.0,0.1,73.8,0.481,Yes,0
Online,24.0,85489.85,401.35,5.0,2.23,36.28,0.226,No,0
POS,52.0,45258.79,1637.14,2.0,4.31,32.51,0.149,No,0
POS,45.0,60247.16,2649.59,4.0,6.14,17.87,0.188,No,0
POS,51.0,57837.18,2601.22,3.0,8.66,20.33,0.06,No,0
Online,51.0,31054.35,4359.37,8.0,0.1,39.15,0.136,No,1
POS,43.0,53085.5,4017.58,,9.25,14.54,0.245,No,0
POS,31.0,,2175.95,5.0,6.56,43.67,0.336,No,0
POS,25.0,50394.8,758.24,3.0,4.28,17.72,0.22,No,0
POS,49.0,67507.39,1608.26,4.0,0.59,21.25,0.317,No,0
,37.0,61475.26,1341.13,5.0,3.28,57.46,0.042,No,0
POS,63.0,51667.8,1879.84,7.0,8.08,33.08,0.356,Yes,0
ATM,32.0,48939.16,4990.12,4.0,5.08,21.8,0.144,No,0
POS,,57567.29,3744.89,3.0,4.46,68.04,0.439,No,0
POS,34.0,63442.86,5699.03,3.0,2.09,12.08,0.171,Yes,0
POS,51.0,24488.13,1702.69,1.0,7.2,9.84,0.399,No,0
Online,55.0,50297.17,,,4.55,9.35,0.245,No,0
Online,25.0,41422.63,4899.48,5.0,4.29,23.92,0.057,No,0
POS,31.0,37730.75,2796.94,7.0,4.71,20.77,0.315,No,0
Transfer,25.0,80628.04,4570.57,5.0,3.06,27.06,0.125,No,0
POS,22.0,32354.29,1271.92,4.0,2.55,3.59,0.193,No,0
Online,43.0,24023.11,303.47,3.0,0.44,3.99,0.166,No,0
POS,34.0,64375.61,1362.87,7.0,3.14,9.83,0.077,No,0
Online,37.0,23747.69,5279.06,4.0,0.1,23.96,0.348,No,0
ATM,42.0,18898.6,2708.8,5.0,6.46,14.29,0.144,No,0
ATM,18.0,67720.09,2180.29,1.0,3.0,7.0,0.195,No,0
POS,50.0,48331.69,1070.85,5.0,3.82,8.64,0.08,No,0
,32.0,55666.93,353.62,6.0,4.89,33.99,0.185,No,0
Online,42.0,,10393.04,6.0,2.59,51.25,0.115,No,0
POS,43.0,24135.4,2030.73,6.0,1.47,15.28,0.005,No,0
Transfer,51.0,26391.93,1627.02,2.0,5.67,7.22,0.412,No,0
ATM,35.0,39812.36,1277.17,5.0,10.67,24.89,0.319,No,0
POS,18.0,25383.04,8765.41,5.0,7.73,62.77,0.132,Yes,0
POS,37.0,51667.88,6035.4,4.0,8.84,22.02,0.279,No,0
Online,38.0,36545.44,950.33,8.0,1.1,23.44,0.435,No,0
Online,25.0,,8011.14,0.0,4.43,18.15,0.261,No,0
Online,38.0,48254.02,2162.4,3.0,4.41,28.62,0.408,No,0
POS,32.0,53555.7,1357.64,6.0,9.29,23.47,0.082,No,0
Transfer,21.0,56341.4,,5.0,7.75,28.08,0.082,No,0
POS,43.0,38548.12,1142.24,,4.51,22.19,0.132,No,0
Online,30.0,48883.93,667.25,3.0,0.1,7.87,0.184,Yes,0
Online,32.0,50042.17,5432.62,2.0,1.52,11.51,0.444,No,0
Online,31.0,15084.41,2004.88,4.0,6.9,4.84,0.148,No,0
ATM,50.0,60195.59,4634.37,7.0,4.04,31.31,0.397,No,0
POS,36.0,48141.11,3331.77,5.0,4.67,37.26,0.211,No,0
ATM,,58002.41,4326.82,6.0,6.84,25.0,0.248,Yes,0
ATM,31.0,25218.63,323.13,2.0,8.4,14.75,0.133,No,0
Online,41.0,,1050.78,4.0,2.66,20.34,0.256,No,0
POS,51.0,27535.45,4417.86,,6.77,24.54,0.454,No,0
Transfer,43.0,62911.76,698.7,7.0,9.83,24.18,0.157,No,0
POS,44.0,23911.51,3630.45,1.0,9.28,33.54,0.269,No,0
Online,43.0,29629.42,622.25,5.0,3.41,11.97,0.193,No,0
Transfer,21.0,57231.47,2541.45,6.0,5.88,22.13,0.062,No,0
Transfer,26.0,33900.98,12506.91,3.0,7.25,9.62,0.056,Yes,0
POS,34.0,29632.94,5424.31,2.0,5.06,31.31,0.185,No,0
POS,28.0,67672.93,392.8,3.0,4.25,10.44,0.276,No,0
Online,,68932.85,5839.6,4.0,0.1,68.11,0.091,No,1
ATM,18.0,62277.15,15464.22,4.0,2.4,20.69,0.15,No,0
POS,21.0,65929.23,40989.12,2.0,2.91,14.61,0.377,No,0
Online,33.0,40546.6,4020.34,5.0,1.22,12.4,0.163,No,0
POS,35.0,41041.99,638.82,8.0,5.33,20.44,0.124,Yes,0
,27.0,33616.8,3861.16,6.0,7.6,58.03,0.421,No,0
ATM,37.0,48527.98,12333.56,6.0,3.74,8.13,0.594,No,0
Online,31.0,35484.94,2073.43,7.0,0.1,31.73,0.099,No,0
Online,48.0,37032.01,7095.07,7.0,4.64,9.96,0.084,No,0
Transfer,34.0,58945.76,1079.7,5.0,5.82,7.01,0.584,No,0
Transfer,44.0,76684.93,3627.86,4.0,5.62,27.16,0.265,No,0
POS,,53832.62,207.36,3.0,2.84,15.02,0.443,No,0
POS,21.0,100897.45,966.53,5.0,1.39,19.36,0.381,No,0
POS,35.0,32759.09,2484.75,1.0,7.66,25.54,0.332,Yes,0
POS,22.0,19679.43,1738.35,3.0,6.06,58.02,0.064,No,0
,35.0,62068.9,680.91,0.0,2.96,30.97,0.047,No,0
Online,28.0,31795.9,1516.85,1.0,0.5,14.99,0.34,No,0
Online,40.0,39785.44,3476.22,3.0,5.67,33.57,0.022,No,0
ATM,21.0,20292.55,2293.46,5.0,2.31,6.07,0.178,No,0
Online,36.0,30024.63,2657.08,5.0,6.15,17.05,0.193,No,0
Online,42.0,22889.08,5197.93,1.0,5.47,13.23,0.033,No,0
POS,46.0,37011.4,1773.81,2.0,11.23,76.39,0.351,No,0
Online,28.0,37679.43,9732.48,3.0,4.77,9.75,0.211,No,0
Online,36.0,46859.07,929.62,3.0,11.0,30.74,0.049,No,0
POS,38.0,78613.06,17189.41,4.0,5.25,12.53,0.455,No,0
POS,53.0,61024.19,7608.98,6.0,3.0,9.22,0.365,No,0
POS,20.0,21686.42,1751.19,8.0,1.83,10.85,0.217,No,0
,26.0,59161.41,1871.93,4.0,2.37,21.86,0.21,No,0
Online,67.0,47320.9,3074.14,4.0,6.29,18.69,0.204,No,1
Transfer,33.0,43061.99,4549.25,3.0,5.39,14.89,0.39,No,0
Transfer,18.0,44542.67,7469.58,1.0,0.1,38.31,0.067,No,0
,30.0,49338.81,654.23,4.0,8.06,16.18,0.213,Yes,0
POS,18.0,32960.62,3871.85,1.0,9.43,36.21,0.524,No,0
POS,39.0,41454.84,301.13,4.0,0.1,19.72,0.117,No,0
POS,45.0,76664.22,2093.82,5.0,8.04,7.9,0.168,No,0
POS,26.0,32782.83,10699.57,2.0,10.05,21.27,0.26,No,0
Online,,28309.94,605.73,2.0,0.1,21.1,0.093,No,0
Transfer,46.0,,,8.0,3.6,86.87,0.361,No,1
POS,18.0,27055.97,3117.67,4.0,2.45,47.65,0.11,No,0
ATM,21.0,20726.44,10011.35,6.0,7.92,53.61,0.221,Yes,0
POS,33.0,38538.29,3461.45,2.0,3.76,18.65,0.073,No,0
Online,28.0,86361.53,372.2,4.0,3.64,12.38,0.166,No,0
POS,33.0,44225.02,464.48,3.0,6.26,16.42,0.364,,0
POS,22.0,48765.46,2756.71,2.0,9.68,15.67,0.242,Yes,0
POS,38.0,17254.89,768.78,,4.82,36.98,0.177,,0
Online,34.0,54807.06,2866.17,6.0,3.59,13.06,0.146,No,0
Online,42.0,46930.94,3041.3,4.0,4.15,33.9,0.321,No,0
POS,38.0,33363.11,1531.94,3.0,6.97,40.98,0.421,No,0
,38.0,48797.8,15348.92,3.0,1.01,28.59,0.133,No,0
Transfer,20.0,48580.26,4512.08,5.0,4.95,6.56,0.245,No,0
,41.0,27935.35,8397.06,5.0,2.19,27.26,0.131,No,0
Online,32.0,,6276.88,5.0,1.39,5.88,0.158,No,0
Online,,77120.83,2151.61,2.0,0.1,20.75,0.226,No,0
POS,48.0,40613.02,2058.22,3.0,3.46,16.76,0.106,No,0
POS,28.0,30454.85,1856.46,3.0,8.24,29.7,0.223,Yes,0
POS,51.0,41543.93,4940.14,3.0,0.1,14.16,0.275,No,0
Transfer,52.0,66104.61,1304.64,3.0,6.63,12.8,0.251,No,0
Online,44.0,25914.92,14031.76,4.0,3.05,14.32,0.022,No,0
POS,25.0,58382.36,1185.8,5.0,1.81,15.26,0.189,No,0
Online,18.0,33167.02,3098.03,0.0,6.03,5.75,0.432,No,0
Online,48.0,50178.71,1988.16,2.0,8.93,42.24,0.152,No,0
POS,37.0,34907.91,1592.81,3.0,9.49,16.04,0.413,No,1
Online,28.0,34865.75,21947.16,2.0,5.85,33.94,0.086,No,0
POS,49.0,89304.8,1611.61,3.0,4.79,26.65,0.156,No,0
POS,27.0,23868.83,1843.32,5.0,6.17,16.64,0.224,No,0
ATM,31.0,55984.63,1286.8,4.0,12.43,13.58,0.649,No,0
POS,,98077.55,2604.74,1.0,4.12,5.31,0.136,No,0
POS,24.0,61261.24,2259.14,3.0,8.4,11.75,0.397,No,1
POS,35.0,24721.39,816.31,3.0,3.22,6.76,0.099,No,0
Online,48.0,25278.42,1635.45,8.0,2.51,8.63,0.546,Yes,0
Online,38.0,32086.36,4599.64,6.0,10.31,33.38,0.159,No,0
POS,50.0,48313.98,6981.6,4.0,5.01,13.75,0.376,Yes,0
Transfer,48.0,49816.02,2560.73,4.0,5.67,10.52,0.007,No,0
Online,36.0,25391.11,2651.92,6.0,6.64,14.17,0.125,Yes,0
POS,18.0,30384.17,1742.46,5.0,2.32,6.69,0.326,No,0
ATM,24.0,31233.63,1512.63,4.0,3.69,7.57,0.434,No,0
ATM,44.0,41484.77,996.72,5.0,3.07,36.4,0.249,No,0
POS,19.0,109922.49,527.1,2.0,6.0,50.43,0.32,No,0
POS,32.0,29569.05,1238.43,5.0,6.1,18.89,0.248,No,0
POS,40.0,28992.33,6173.98,0.0,3.2,3.47,0.245,,0
Transfer,52.0,27024.65,1635.38,6.0,11.08,48.2,0.079,No,0
Online,30.0,59898.86,1768.75,4.0,4.92,64.78,0.145,No,0
Transfer,29.0,44170.57,1734.65,4.0,5.31,23.92,0.269,Yes,0
Online,35.0,30064.97,8679.8,5.0,9.03,11.16,0.403,Yes,0
ATM,40.0,38221.74,,4.0,2.38,33.92,0.296,No,1
Online,34.0,31515.61,3298.09,4.0,3.44,18.12,0.156,Yes,0
Online,48.0,51409.02,2334.56,8.0,5.86,31.31,0.25,No,0
Online,27.0,150600.7,2675.72,5.0,0.57,4.52,0.55,No,0
POS,37.0,57659.3,3191.98,3.0,4.29,13.15,0.067,No,0
Online,41.0,43155.84,2647.08,8.0,11.15,6.45,0.086,No,0
Online,32.0,,5525.16,6.0,10.49,8.71,0.101,Yes,0
POS,45.0,24584.9,2427.92,3.0,7.69,4.31,0.348,No,0
POS,38.0,62603.61,14305.83,3.0,8.55,8.76,0.38,No,0
ATM,45.0,61091.45,2613.71,2.0,6.48,41.74,0.174,No,0
Transfer,38.0,36485.58,455.13,6.0,3.71,9.77,0.193,No,0
POS,40.0,77685.05,4733.2,2.0,9.93,4.19,0.218,No,0
Online,29.0,45429.45,3700.2,1.0,2.15,9.66,0.093,No,0
Online,29.0,63771.4,2582.7,4.0,7.91,4.56,0.147,No,0
Transfer,49.0,51416.09,1928.46,5.0,3.47,19.5,0.034,No,0
Online,43.0,41552.24,301.7,,3.65,10.0,0.437,No,0
POS,25.0,29281.75,356.81,2.0,6.62,15.48,0.306,No,0
Transfer,38.0,42147.32,12985.2,3.0,11.1,11.24,0.346,No,0
Transfer,18.0,65731.96,1392.06,6.0,9.29,15.43,0.128,No,0
POS,30.0,35801.93,,1.0,6.02,3.96,0.436,No,0
POS,47.0,54846.92,503.21,3.0,5.19,9.18,0.105,No,0
POS,35.0,27644.63,877.6,2.0,7.34,27.23,0.383,Yes,0
ATM,37.0,63923.61,4927.99,1.0,9.1,29.01,0.216,No,0
Online,18.0,51804.97,2256.44,5.0,0.1,16.18,0.249,No,0
Online,32.0,26198.77,,6.0,4.62,17.14,0.059,Yes,0
POS,40.0,,2466.15,4.0,1.84,2.94,0.104,No,0
Online,41.0,68429.97,2031.18,6.0,4.34,23.46,0.321,No,0
POS,47.0,25536.22,1266.49,2.0,1.23,41.41,0.206,No,0
POS,34.0,27791.63,757.52,4.0,0.1,4.6,0.4,No,0
Transfer,34.0,43614.46,10165.42,8.0,1.04,32.22,0.187,No,0
ATM,21.0,117526.2,11984.33,4.0,3.34,4.45,0.008,No,0
POS,34.0,33248.26,884.78,2.0,6.76,19.17,0.149,No,0
ATM,22.0,56234.8,828.79,1.0,2.56,3.83,0.701,No,0
Online,18.0,50588.46,1765.65,1.0,2.4,5.2,0.223,No,0
POS,24.0,34514.47,3513.9,3.0,6.19,8.55,0.039,No,0
Online,53.0,48384.16,2084.38,1.0,5.86,7.33,0.475,No,0
Transfer,33.0,36786.72,4119.83,7.0,10.11,38.5,0.302,Yes,1
ATM,38.0,38307.68,2379.86,3.0,7.8,20.24,0.214,No,0
Transfer,30.0,21308.16,2229.24,5.0,1.92,7.67,0.471,No,0
Transfer,18.0,44507.88,27920.73,3.0,2.99,27.37,0.073,No,0
Transfer,46.0,67441.1,1478.59,,7.24,30.74,0.465,No,0
Online,18.0,46178.03,12887.24,2.0,2.34,24.35,0.121,No,0
Transfer,30.0,,10624.41,2.0,4.03,21.96,0.131,Yes,0
POS,35.0,58428.85,4138.71,5.0,0.1,22.09,0.105,No,0
POS,39.0,43810.3,364.28,8.0,1.08,7.27,0.242,No,0
POS,28.0,33923.09,2578.86,3.0,8.78,19.01,0.299,No,0
Online,18.0,36156.03,1494.21,5.0,5.5,38.68,0.091,No,0
Online,27.0,23218.11,2550.73,2.0,3.11,55.52,0.513,No,0
Online,28.0,,863.57,5.0,3.53,17.1,0.425,No,0
,27.0,48055.76,5325.72,2.0,10.15,10.66,0.358,Yes,0
POS,47.0,97378.16,6694.43,3.0,3.03,8.35,0.257,No,0
Transfer,23.0,57077.31,8055.18,3.0,6.42,36.64,0.624,No,0
POS,39.0,30492.42,1705.93,5.0,7.61,8.39,0.156,No,0
POS,38.0,23545.78,866.64,5.0,9.33,14.97,0.236,No,0
POS,47.0,41005.82,3553.64,7.0,2.45,14.74,0.182,No,0
POS,35.0,,14474.16,5.0,0.8,30.0,0.335,No,0
Online,,40747.12,2679.63,8.0,1.69,23.22,0.349,No,0
ATM,34.0,57429.34,3929.8,2.0,7.19,64.47,0.203,No,0
Online,41.0,41477.7,1976.58,3.0,10.98,22.73,0.436,No,0
ATM,19.0,62135.2,1511.07,5.0,7.3,37.51,0.23,Yes,0
ATM,18.0,21930.9,4828.65,2.0,3.02,12.2,0.19,Yes,0
POS,40.0,92623.64,2248.41,6.0,8.56,22.86,0.312,No,0
Transfer,41.0,27277.03,3742.72,9.0,3.59,39.11,0.23,Yes,0
Online,41.0,64318.16,4152.86,6.0,2.5,35.58,0.322,Yes,0
Transfer,30.0,,3538.87,3.0,4.01,5.48,0.122,No,0
ATM,52.0,42714.56,4367.3,3.0,3.26,7.51,0.201,Yes,0
